provcd,countyid,cid,age,health,minority,stateown,collective,private,foreign,formal,part_time,mwage_atax,bcollar,wcollar,service,week_whours,employ,familysize,BJ,TJ,HeB,ShX,NMG,LN,JN,HLJ,SH,JS,ZJ,AnH,FJ,JX,ShD,HeN,HuB,HuN,GuD,GuX,HaN,ChQ,SiCh,GuZ,YunN,XZ,ShaX,GS,QinH,NinX,XinJ,lnwage,experience,urban,gender,hukou,spouse,edu,military1,party1,evsmoke1,agri_job,gsubsidy,gsubsidy_amount,subsidy,lnsubsidy,lngsubsidy,employ_w,good_job
山东省,64,125800,39,4,0,0,0,0,0,0,1,2200,1,0,0,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
河南省,104,208800,28,3,0,0,0,1,0,0,0,1500,0,0,0,56,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
天津市,187,,42,2,0,0,0,0,0,0,1,6000,0,0,0,84,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,1,1,0,1,2,0,0,1,0,0,0,0,0,0,1,0
天津市,187,,42,3,0,0,0,0,0,0,1,5000,0,0,0,84,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
广东省,2101,,28,3,0,1,0,0,0,0,1,5000,0,1,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,12,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,1
河南省,1589,738942,31,4,0,1,0,0,0,0,1,1700,0,0,0,63,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0
河南省,112,211800,35,3,0,0,0,0,0,0,1,10000,0,0,0,60,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,1,0,1,3,0,0,0,0,1,836,1672,5,4,1,0
河南省,112,724654,32,4,0,0,0,1,0,0,1,4000,1,0,0,56,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,0,0,0,1,2,0,0,0,0,1,836,1672,5,4,1,0
河南省,114,795854,26,3,0,0,0,0,0,0,1,6000,0,0,0,30,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,1,0,0,3,0,0,1,1,1,600,10600,7,4,1,0
河南省,102,748564,27,3,0,0,0,1,0,0,1,5000,1,0,0,84,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
河南省,109,210500,31,3,0,0,0,0,0,0,0,3000,1,0,0,56,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0
河南省,105,687219,25,5,0,1,0,0,0,0,1,2000,0,1,0,52,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,1,0,1,1,4,0,0,0,0,0,0,26000,8,0,1,1
河南省,105,687219,27,2,0,1,0,0,0,0,1,3000,0,0,0,38,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,1,1,1,1,4,0,1,1,0,0,0,26000,8,0,1,0
河南省,110,211100,34,3,0,0,0,0,0,0,0,1000,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,1,0,1,2,0,0,0,1,0,0,0,0,0,1,0
北京市,45,118300,58,3,0,1,0,0,0,0,1,3000,1,0,0,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,1,1,1,1,2,0,1,0,0,1,2400,43200,8,5,1,0
北京市,45,118300,29,3,0,0,0,1,0,0,1,6000,1,0,0,40,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,1,1,1,0,4,0,0,0,0,1,1200,241200,10,5,1,0
北京市,45,118300,45,2,0,0,0,1,0,0,1,15000,1,0,0,40,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,1,1,1,1,4,0,0,0,0,0,0,53500,8,0,1,0
北京市,45,118200,45,3,0,1,0,0,0,0,1,2000,0,0,1,36,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,1,0,1,1,3,0,0,0,0,0,0,60000,9,0,1,0
北京市,45,118200,58,3,0,1,0,0,0,0,0,2400,0,0,1,24,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,1,1,1,1,3,0,0,1,0,0,0,60000,9,0,1,0
北京市,45,118200,37,3,0,0,0,1,0,0,1,4500,0,0,1,42,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,1,0,1,1,3,0,0,1,0,0,0,0,0,0,1,0
北京市,45,118200,38,3,0,0,0,1,0,0,1,4000,0,0,0,40,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,0
北京市,169,618160,38,4,0,1,0,0,0,0,1,6000,0,0,1,40,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,1,0,1,1,4,0,0,0,0,0,0,96000,9,0,1,0
北京市,170,774447,38,3,0,0,0,1,0,0,1,6000,0,0,1,44,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,1,1,1,0,4,0,0,0,0,0,0,50000,8,0,1,0
北京市,177,674218,32,3,0,0,0,1,0,0,1,12000,0,0,0,60,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,1,0,1,0,4,0,0,1,0,0,0,0,0,0,1,0
北京市,169,798372,50,3,0,1,0,0,0,0,0,2000,0,0,0,35,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,1,1,1,1,1,0,0,0,0,1,13200,13200,7,7,1,0
北京市,45,118400,59,4,0,0,0,0,0,0,0,2000,1,0,0,50,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,43,1,1,1,1,3,0,0,1,0,0,0,50200,8,0,1,0
北京市,45,118400,60,3,0,0,0,0,1,0,0,5000,1,0,0,40,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,44,1,1,1,1,2,0,0,1,0,0,0,80000,9,0,1,0
北京市,45,118400,34,3,0,0,0,0,0,0,1,10000,0,0,0,40,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,1,0,1,1,4,0,0,0,0,0,0,80000,9,0,1,0
